LANDSLIDE_,LOCATION,COUNTY,QUADRANGLE,CITY,SP-EASTING,SP-NORTHING,Longitude,Latitude,PROCESS,GEOLOGY,SOILCODE,SERIES,CAUSE,STATUS,LENGTH,WIDTH,SCARP,VOLUME,SLOPE,DATES,MITIGATION,COST,COMMENTS,NAME,
C-1,Private drive @ 931 SE Jackson Park Rd,Multnomah,Camas,Troutdale,7720514,686298,-122.37948,45.53376,Debris Slide,Troutdale,20F,"Haplumbrepts, very steep",Natural,Unfixed,60,30,4,267,37,96,removal,"3,000",,,
WA-1,Wilson Rd ~1000' S of Kerslake Rd in drainage to W,Multnomah,Washougal,Multnomah,7724493,676900,-122.36311,45.50825,Earthflow,Troutdale,20F,"Haplumbrepts, very steep",Natural,Unfixed,150,200,3,3333,25,96,none,,"no damage, in natural drainage",,
WA-2,SE Stark St .5 mi W of bridge @ Sandy R.,Multnomah,Washougal,Multnomah,7723903,677589,-122.36547,45.51010,Debris Slide,Troutdale,20F,"Haplumbrepts, very steep",Human/Cutslope,Unfixed,35,70,2,181,58,96,removal,"2,000",,,
WA-3,NE Reed Rd,Multnomah,Washougal,Multnomah,7746039,687789,-122.28002,45.53944,Earthflow,Qes,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Human/Cutslope,Fixed,15,50,4,111,50,96,"removal, regrade, geofabric, reveg.","8,000",signs of debris flow in creek opposite slide. Slope given is that of fix.,,
WA-4,"Woodard Rd, .4 mi S. of Columbia River Scenic Hwy",Multnomah,Washougal,Multnomah,7723488,683178,-122.36759,45.52540,Slump-Earthflow,Troutdale,37D,Quatama loam,Human/Cutslope,Unfixed,15,18,5,50,41,96,removal,"1,000",,,
WA-5,"Woodard Rd, .1 mi S of WA-4",Multnomah,Washougal,Multnomah,7723586,682749,-122.36717,45.52423,Earthflow/Debris Flow,Troutdale,20F,"Haplumbrepts, very steep",Natural,Unfixed,40,10,3,44,40,96,removal,"2,000",debris from small slide channelized into small flow,,
WA-6,"Woodard Rd, .1 mi S of WA-5",Multnomah,Washougal,Multnomah,7723671,682538,-122.36682,45.52366,Debris Slide,Troutdale,20F,"Haplumbrepts, very steep",Human/Cutslope,Unfixed,50,100,4,741,40,96,removal,"5,000","fill on opposite side of road starting to fail, many cracks visible",,
WA-7,NE Morak Rd,Multnomah,Washougal,Multnomah,7725200,687581,-122.36131,45.53758,Slump,Troutdale,34C,Powell silt loam,Natural,Unfixed,15,40,4,89,25,96/97,none,,natural slump in small drainage on top of the C. R. Gorge,,
WA-8,"SE Louden Rd, 1 mi from jct Little Page Rd",Multnomah,Washougal,Multnomah,7747852,677934,-122.27210,45.51252,Debris Slide,Boring Lava Soil,27C,Mershon silt loam,Human/Cutslope,Unfixed,10,25,1,9,47,96,none,,,,
BV-1,"NE Palmer Mill Rd, 1.1 mi down from jct NE Bowers Rd",Multnomah,Bridal Veil,Multnomah,7773413,691017,-122.17346,45.54989,Debris Slide,Troutdale,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Human/Cutslope,Unfixed,18,25,2,33,60,96,removal,"1,000",in Mt Hood National Forest/Columbia River Gorge National Scenic Area,,
BV-2,"NE Palmer Mill Rd, .2 mi down from jct NE Bowers Rd",Multnomah,Bridal Veil,Multnomah,7774871,688768,-122.16759,45.54381,Debris Slide,Boring Lava Soil,3F,"Aschoff cobbly loam, 60-80 degree slope",Human/Cutslope,Unfixed,17,20,2,25,63,96,removal,"1,000",Very red soils,,
BV-3,"Larch Mtn Rd, .5 mi S of jct Haines Rd",Multnomah,Bridal Veil,Multnomah,7759128,680578,-122.22834,45.52044,Debris Slide,Boring Lava Soil,5E,"Bull Run silt loam, 30-60 degree slope",Human/Cutslope,Unfixed,50,35,2,,56,96,removal,"3,000",Very red soils,,
BV-4,"Haines Rd, ~.6 mi from jct Larch Mtn Rd",Multnomah,Bridal Veil,Multnomah,7760360,680349,-122.22352,45.51989,Earthflow/Debris Flow,Boring Lava Soil,5E,"Bull Run silt loam, 30-60 degree slope",Human/Cutslope,Fixed,100,150,8,,35,96,"removal, regrade, repave, new culvert, rock fill, geofabric, reveg","75,000",repaired summer 97. Debris flow runout 700+'α down to Latourell Falls?,,
MT-1,Rocky Butte Rd .2 mi S of tunnel,Multnomah,Mt Tabor,Portland,7672117,691149,-122.56877,45.54382,Slump-Earthflow,Qfc/Troutdale,,Saum silt loam,Human/Cutslope,Unfixed,15,10,2,11,47,96,removal,"1,000",,,
MT-2,Rocky Butte Rd .2 mi S of tunnel,Multnomah,Mt Tabor,Portland,7672123,691206,-122.56875,45.54398,Slump-Earthflow,Qfc/Troutdale,,Saum silt loam,Human/Cutslope,Unfixed,20,12,3,27,47,96,removal,"1,000",,,
MT-3,Rocky Butte Rd .2 mi S of tunnel,Multnomah,Mt Tabor,Portland,7672134,691272,-122.56871,45.54416,Slump-Earthflow,Qfc/Troutdale,,Saum silt loam,Human/Cutslope,Unfixed,15,18,2,20,47,96,removal,"1,000",,,
MT-4,Off of Rocky Butte Rd beneath radio tower,Multnomah,Mt Tabor,Portland,7673062,690117,-122.56498,45.54106,Rockfall/Mudflow,Qfc/Troutdale,,Saum silt loam,Natural,Unfixed,150,80,,4444,50,96/97,none,0,"very large rock fall, still very active, several widenings and deepenings",,
LO-185,I-5 SB .8 mi from Corbett St overpass,Multnomah,Lake Oswego,Portland,7643219,667843,-122.67907,45.47784,Earthflow,PHS,8D,Cascade-urban land complex,Human/Cutslope,Fixed,40,120,,2667,35,Feb-9,"removal, rock fill","80,000",Excessive rain ponded behind adjacent ret. wall. Closed I-5 for a day,,
LO-186,SB exit from I-5 @ Terwilliger (Burlingame),Multnomah,Lake Oswego,Portland,7641590,665246,-122.68514,45.47060,Earthflow,PHS,8B,Cascade-urban land complex,Human/Cutslope,Fixed,30,40,4,178,30,Feb-9,"removal, rock fill","30,000",Storm runoff from Barbur Blvd & Kaady Car Wash (under const.),,
LO-187,Riverview Cemetary,Multnomah,Lake Oswego,Portland,7644798,661136,-122.67221,45.45957,Slump-Earthflow,PHS,7C,Cascade silt loam,Natural,Unfixed,385,600,9,,20,96/97,trench at head to control runoff,,"Very large slide, multiple scarps and tensional cracks",,
LO-188,Riverview Cemetary,Multnomah,Lake Oswego,Portland,7644441,661675,-122.67366,45.46102,Slump-Earthflow,PHS,19E,"Haploxerolls, steep",Human/Fill,Unfixed,40,60,3,267,30,97,none,0,"Lots of debris, looks like dumping from lands management may have contrib",,
LO-189,SW Boones Ferry Rd ~100m S. of SW Terwilliger Blvd,Multnomah,Lake Oswego,Portland,7642208,658685,-122.68204,45.45266,Earthflow,PHS,8B,Cascade-urban land complex,Human/Fill,Fixed,150,100,8,4444,40,Feb-9,"removal, rock fill, road patch","60,000",Closed SW Boones Ferry Rd for ~3 weeks-month,,
LO-190,Up drainage from LO-155 (behind house on Stephenson),Multnomah,Lake Oswego,Portland,7639502,653770,-122.69206,45.43898,Earthflow,Boring Lava/PHS,8C,Cascade-urban land complex,Human/Water co,Fixed,140,110,,5704,30,96,Boulder fill,"70,000",,,
LO-191,behind 5005 SW 18th Pl,Multnomah,Lake Oswego,Portland,7638744,671068,-122.69685,45.48635,Earthflow,PHS,8D,Cascade-urban land complex,Human/Water co,Unfixed,50,65,8,963,40,96/97,tarp,"150,000","House yellow tagged, abandoned, murder/suicide of owners (related to slid",,
LO-192,across SW 18th Pl from 5005,Multnomah,Lake Oswego,Portland,7638862,671080,-122.69639,45.48639,Earthflow,PHS,8D,Cascade-urban land complex,Human/Water co,Unfixed,30,30,6,200,50,Feb-9,removal,"5,000",,,
LO-193,End of SW 18th Dr (above and behind 5024 SW 18th Pl),Multnomah,Lake Oswego,Portland,7638874,671258,-122.69636,45.48688,Earthflow,PHS,7E,Cascade silt loam,Natural,Fixed,120,60,8,2133,45,Feb-9,"removal, rock fill, drainage, buttress","200,000","House originally red tagged, owner invested to fix and remain",,
LO-194,above path off of SW 18th Dr (behind/next to 5024 SW 1,Multnomah,Lake Oswego,Portland,7639063,671151,-122.69561,45.48660,Earthflow,PHS,7E,Cascade silt loam,Natural,Fixed,100,120,4,1778,35,Feb-9,"removal, buttress/catchment @ bottom","60,000",may be tied to ephemeral springs/perched water table. flowed down to back,,
LO-195,off of SW 18th Dr ~ 150' down from LO-194,Multnomah,Lake Oswego,Portland,7639075,671009,-122.69555,45.48621,Earthflow,PHS,7E,Cascade silt loam,Natural,Fixed,60,40,6,533,40,Feb-9,"removal, rock fill","7,000",,,
LO-196,"below SW 18th Dr, above SW 18th Pl",Multnomah,Lake Oswego,Portland,7638999,670770,-122.69582,45.48555,Earthflow,PHS,7E,Cascade silt loam,Human/Cutslope,Fixed,20,45,2,67,35,Feb-9,"removal, rock fill, culvert, geofabric","6,000",,,
LO-197,above SW 18th Dr,Multnomah,Lake Oswego,Portland,7639048,670874,-122.69564,45.48584,Earthflow,PHS,7E,Cascade silt loam,Natural,Fixed,60,40,4,356,40,Feb-9,"removal (?), wooden ret. wall @ top & bottom","2,500",,,
