State,State,FIPS,MajorityParty,ft_Before,ft_After,ft_perchange,g_Before,g_After,g_perchange,ar_Before,ar_After,ar_perchange,sh_Before,sh_After,sh_perchange,ny_Before,ny_After,ny_perchange,ABBV,all_Before,all_After,all_perchange
Alabama,AL,1,Republican,27346,42196,0.543041029766693,43266,31759,-0.265959413858457,26055,32191,0.23550182306659,52221,55210,0.0572375098140595,49978,51520,0.0308535755732522,AL,198866,212876,7.04%
Alaska,AK,2,Republican,6724,6015,-0.105443188578227,7036,5016,-0.287094940306993,6231,7482,0.200770341839191,8131,9975,0.226786373139835,7545,8322,0.102982107355865,AK,35667,36810,3.20%
Arizona,AZ,4,Republican,14831,19703,0.328501112534556,23942,24293,0.0146604293709799,23452,27791,0.185016203308886,34003,41443,0.21880422315678,29065,24148,-0.169172544297265,AZ,125293,137378,9.65%
Arkansas,AR,5,Republican,18480,23034,0.246428571428571,23821,20726,-0.129927375005247,13640,17976,0.317888563049853,29298,29607,0.0105467950030719,22401,19661,-0.122315968037141,AR,107640,111004,3.13%
California,CA,6,Democrat,64468,69236,0.0739591735434634,81522,67480,-0.17224798213979,85384,87291,0.0223343952028483,113832,133187,0.170031274158409,111132,114595,0.0311611417053594,CA,456338,471789,3.39%
Colorado,CO,8,Democrat,22940,29201,0.272929380993897,34693,28056,-0.191306603637621,25936,34204,0.318784700801974,46192,53121,0.15000432975407,35642,34371,-0.035660176196622,CO,165403,178953,8.19%
Connecticut,CT,9,Democrat,14754,15154,0.0271112918530568,15546,15154,-0.0252154895149878,17348,18497,0.0662324187226193,22547,31886,0.41420144586863,23489,20189,-0.140491293797097,CT,93684,100880,7.68%
Delaware,DE,10,Democrat,1763,2261,0.282473057288712,2410,1878,-0.220746887966805,1737,2259,0.300518134715026,3681,5055,0.373268133659332,2526,2989,0.183293745051465,DE,12117,14442,19.19%
District of Columbia,DC,11,Democrat,28,19,-0.321428571428571,27,35,0.296296296296296,20,40,1,41,59,0.439024390243902,35,37,0.0571428571428571,DC,151,190,25.83%
Florida,FL,12,Democrat,44824,57449,0.281657147956452,65408,60661,-0.0725752201565558,55905,63007,0.127036937662105,88114,117696,0.335724175499921,81138,79284,-0.0228499593285514,FL,335389,378097,12.73%
Georgia,GA,13,Republican,28353,39352,0.387930730434169,41531,40229,-0.0313500758469577,27206,34710,0.275821509961038,47507,70862,0.491611762477109,34288,38032,0.109192720485301,GA,178885,223185,24.76%
Hawaii,HI,15,Democrat,853,992,0.16295427901524,934,889,-0.0481798715203426,1260,1426,0.131746031746032,1622,2260,0.393341553637485,1283,1325,0.0327357755261107,HI,5952,6892,15.79%
Idaho,ID,16,Republican,8237,9733,0.181619521670511,9918,8804,-0.112321032466223,8872,10348,0.166366095581605,13395,17708,0.321985815602837,9967,10694,0.0729407043242701,ID,50389,57287,13.69%
Illinois,IL,17,Democrat,65610,68399,0.0425087639079409,69260,59431,-0.141914524978342,75388,85626,0.135804106754391,91889,149608,0.628138297293474,85074,101416,0.192091590850319,IL,387221,464480,19.95%
Indiana,IN,18,Republican,29405,32448,0.103485801734399,37028,32083,-0.133547585610889,28002,35953,0.283944003999714,48477,61855,0.275965921983621,49336,43650,-0.115250526998541,IN,192248,205989,7.15%
